State,Year,BDPRP,CLPRB,ENPRP,GETCB,HYTCB,NCPRB,NGMPB,NUETB,PAPRB,REPRB,SOTCB,TEPRB,TETCB,WDEXB,WDPRB,WDTCB,WSTCB,WWPRB,WYTCB
OK,2020,886.0,16.0,0.0,24.0,25042.0,283986.0,3244434.0,0.0,977372.0,323741.0,845.0,4545564.0,1579183.0,0.0,29058.0,29058.0,5884.0,34942.0,258075.0
OR,2020,265.0,0.0,790.0,2917.0,280040.0,373076.0,337.0,0.0,0.0,453528.0,13116.0,453865.0,982979.0,0.0,68864.0,68864.0,5659.0,74523.0,77003.0
PA,2020,683.0,908798.0,2289.0,2162.0,23445.0,65641.0,7563593.0,799036.0,31483.0,189149.0,7151.0,9492059.0,3412995.0,0.0,73021.0,73021.0,33772.0,106794.0,32883.0
RI,2020,103.0,0.0,0.0,57.0,31.0,6346.0,0.0,0.0,0.0,11420.0,4375.0,11420.0,175780.0,0.0,1591.0,1591.0,2925.0,4516.0,1884.0
SC,2020,0.0,0.0,0.0,648.0,33888.0,52929.0,0.0,571711.0,0.0,160701.0,18393.0,732412.0,1533340.0,8821.0,103690.0,94870.0,4081.0,107772.0,0.0
SD,2020,0.0,0.0,27664.0,1868.0,51152.0,101696.0,439.0,0.0,5958.0,261997.0,38.0,268394.0,396626.0,0.0,2945.0,2945.0,187.0,3132.0,48639.0
TN,2020,839.0,2377.0,4033.0,213.0,118018.0,122230.0,2866.0,383098.0,939.0,202041.0,3656.0,591321.0,2039089.0,1732.0,48046.0,46314.0,4294.0,52340.0,344.0
TX,2020,5021.0,262510.0,5549.0,2478.0,9469.0,912590.0,1.1464912E7,432703.0,1.0109771E7,1059236.0,89658.0,2.3329131E7,1.348076E7,7955.0,62425.0,54470.0,25413.0,87839.0,810985.0
UT,2020,0.0,296168.0,0.0,4113.0,7165.0,45727.0,265927.0,0.0,176142.0,50836.0,27408.0,789072.0,829039.0,0.0,4011.0,4011.0,1097.0,5109.0,7041.0
VA,2020,57.0,251899.0,32.0,1701.0,17811.0,33962.0,107908.0,314722.0,28.0,147212.0,14450.0,821769.0,2273099.0,9398.0,94244.0,84845.0,18512.0,112755.0,0.0
VT,2020,0.0,0.0,0.0,29.0,9911.0,16528.0,0.0,0.0,0.0,37481.0,3224.0,37481.0,125702.0,0.0,20237.0,20237.0,716.0,20953.0,3365.0
WA,2020,1768.0,0.0,0.0,1136.0,670342.0,755489.0,0.0,98437.0,0.0,871240.0,2724.0,969677.0,1779399.0,0.0,98371.0,98371.0,7774.0,106145.0,81287.0
WI,2020,743.0,0.0,10990.0,615.0,24457.0,42739.0,0.0,102032.0,0.0,200946.0,2197.0,302978.0,1708131.0,0.0,83180.0,83180.0,8551.0,91731.0,15470.0
WV,2020,0.0,1748361.0,0.0,32.0,13967.0,30837.0,3121923.0,0.0,108465.0,41440.0,188.0,5020189.0,803921.0,0.0,10354.0,10354.0,250.0,10604.0,16649.0
WY,2020,0.0,3822600.0,0.0,663.0,9527.0,60120.0,1489916.0,0.0,507017.0,64877.0,1566.0,5884410.0,504390.0,0.0,4757.0,4757.0,0.0,4757.0,48362.0
